primary_label,secondary_labels,filepath,target,secondary_targets,cv,fold
asbfly,[],data/train_audio/asbfly/XC134896.ogg,0,[],True,1
asbfly,[],data/train_audio/asbfly/XC164848.ogg,0,[],True,2
asbfly,[],data/train_audio/asbfly/XC175797.ogg,0,[],True,0
asbfly,[],data/train_audio/asbfly/XC207738.ogg,0,[],True,2
asbfly,[],data/train_audio/asbfly/XC209218.ogg,0,[],True,4
asbfly,[],data/train_audio/asbfly/XC209219.ogg,0,[],True,2
asbfly,[],data/train_audio/asbfly/XC267679.ogg,0,[],True,0
asbfly,[],data/train_audio/asbfly/XC267680.ogg,0,[],True,4
asbfly,[],data/train_audio/asbfly/XC267681.ogg,0,[],True,2
asbfly,[],data/train_audio/asbfly/XC267682.ogg,0,[],True,2
asbfly,[],data/train_audio/asbfly/XC267683.ogg,0,[],True,3
asbfly,[],data/train_audio/asbfly/XC291450.ogg,0,[],True,4
asbfly,[],data/train_audio/asbfly/XC305518.ogg,0,[],True,2
asbfly,[],data/train_audio/asbfly/XC309402.ogg,0,[],True,0
asbfly,[],data/train_audio/asbfly/XC312456.ogg,0,[],True,0
asbfly,[],data/train_audio/asbfly/XC313835.ogg,0,[],True,1
asbfly,[],data/train_audio/asbfly/XC329259.ogg,0,[],True,1
asbfly,[],data/train_audio/asbfly/XC341611.ogg,0,[],True,1
asbfly,[],data/train_audio/asbfly/XC341612.ogg,0,[],True,1
asbfly,[],data/train_audio/asbfly/XC342037.ogg,0,[],True,0
asbfly,[],data/train_audio/asbfly/XC342638.ogg,0,[],True,2
asbfly,[],data/train_audio/asbfly/XC347563.ogg,0,[],True,3
asbfly,['comior1'],data/train_audio/asbfly/XC347938.ogg,0,[38],True,0
asbfly,[],data/train_audio/asbfly/XC374520.ogg,0,[],True,3
asbfly,[],data/train_audio/asbfly/XC376509.ogg,0,[],True,3
asbfly,[],data/train_audio/asbfly/XC396237.ogg,0,[],True,3
asbfly,[],data/train_audio/asbfly/XC396238.ogg,0,[],True,0
asbfly,['asikoe2'],data/train_audio/asbfly/XC399102.ogg,0,[4],True,4
asbfly,[],data/train_audio/asbfly/XC405069.ogg,0,[],True,4
asbfly,[],data/train_audio/asbfly/XC412227.ogg,0,[],True,3
asbfly,['commyn'],data/train_audio/asbfly/XC412228.ogg,0,[41],True,3
asbfly,['asikoe2'],data/train_audio/asbfly/XC441145.ogg,0,[4],True,4
